Hour,Wind Speed
17,0.9333148002624512
18,1.467023253440857
19,2.1088824272155757
20,2.510564088821411
21,2.7645671367645264
22,2.9286317825317383
23,3.0502614974975586
0,3.14465856552124
1,3.18655776977539
2,3.005640745162964
3,2.566671371459961
4,2.0712287425994877
5,1.706877827644348
6,1.322299599647522
7,0.9884862303733826
8,0.8833801746368408
9,0.9234152436256408
10,1.227173089981079
11,1.1465442180633545
12,1.21061372756958
13,1.3314712047576904
14,1.4239293336868286
15,1.482774019241333
16,1.4462854862213137
17,1.3487221002578735
18,1.3009601831436155
19,1.3226187229156494
20,1.4610203504562378
21,1.732079267501831
22,2.0946462154388428
23,2.448691368103028
0,2.809025764465332
1,3.177173137664795
2,3.132021188735962
3,2.9101316928863525
4,2.6850512027740483
5,2.4097824096679688
6,2.1143319606781006
7,1.8457586765289309
8,1.4490489959716797
9,1.3016798496246338
10,1.2807505130767822
11,1.2916775941848757
12,1.4871206283569336
13,1.9236518144607544
14,2.273663282394409
15,2.587346315383911
16,2.872055768966675
17,3.0860059261322017
18,3.375661373138428
19,3.667576789855957
20,3.887588262557984
21,4.04744291305542
22,4.169514656066895
23,4.320114135742188
0,4.50160551071167
1,4.698077201843262
2,4.687870979309082
3,4.578990459442139
4,4.3876023292541495
5,4.127612590789795
6,3.865828514099121
7,3.4922368526458736
8,2.832535743713379
9,2.702610969543457
10,1.9857590198516848
11,1.2765493392944336
12,0.7457693815231323
13,0.8377888798713684
14,1.1636604070663452
15,1.3567222356796265
16,1.4226768016815186
17,1.474568486213684
18,1.7998462915420532
19,2.1915125846862797
20,2.63215446472168
21,3.0243589878082275
22,3.3256468772888184
23,3.537783145904541
0,3.693871736526489
1,3.8086986541748047
2,3.7709691524505615
3,3.67195725440979
4,3.5569779872894287
5,3.4361937046051025
6,3.2944672107696533
7,3.0747315883636475
8,2.6600348949432373
9,2.681351900100708
10,2.5634236335754395
11,2.27536416053772
12,2.013069868087769
13,1.8218352794647217
14,1.6771658658981323
15,1.8400391340255735
16,2.145883798599243
17,2.463913917541504
18,2.9159538745880127
19,3.3605196475982666
20,3.7022547721862793
21,3.903794765472412
22,4.000420093536377
23,4.002389907836913
0,3.934370756149292
1,3.793522834777832
2,3.5755929946899414
3,3.346062660217285
4,3.188918352127075
5,3.101210832595825
6,3.08100962638855
7,2.9827299118041988
8,2.626577854156494
9,2.359830141067505
10,1.9368396997451784
11,1.6265065670013428
12,1.5429364442825315
13,1.712231159210205
14,1.9097326993942259
15,2.128407716751098
16,2.2889623641967773
17,2.401738405227661
18,2.6001851558685303
19,2.824304342269897
20,3.039991617202759
21,3.22889256477356
22,3.393244504928589
23,3.534021377563477
0,3.6653320789337163
1,3.784767389297485
2,3.7701921463012695
3,3.73332953453064
4,3.7053742408752437
5,3.635639190673828
6,3.51897406578064
7,3.2273271083831787
8,2.757519006729126
9,2.601828098297119
10,2.524362325668335
11,2.2438738346099854
12,2.0551352500915527
13,2.04487943649292
14,1.978092193603516
15,2.016092538833618
16,2.1515471935272217
17,2.2574999332427983
18,2.441303968429565
19,2.622361183166504
20,2.8269388675689697
21,3.0147371292114262
22,3.1099178791046143
23,3.0795280933380127
0,2.9206435680389404
1,2.6550097465515137
2,2.465373992919922
3,2.314860582351685
4,2.197591781616211
5,2.134500503540039
6,2.1160414218902592
7,2.099972486495972
8,1.8078725337982176
9,1.4785903692245483
10,1.2742639780044556
11,0.9617267847061156
12,0.6672070026397705
13,0.6066293716430664
14,0.7083368897438049
15,0.8832142949104309
16,1.0353611707687378
17,1.151313304901123
18,1.1729689836502075
19,0.9956626296043396
20,0.6879448890686035
21,0.34738340973854065
22,0.14166030287742615
23,0.2767153084278107
0,0.5308238863945007
1,0.8124472498893738
2,1.2856882810592651
3,1.8687788248062132
4,2.5173122882843018
5,3.1144661903381348
6,3.550567150115967
7,3.6754550933837886
8,3.0761525630950928
9,3.5687351226806636
10,3.644018411636353
11,3.536280870437622
12,3.3913190364837646
13,3.263289451599121
14,3.471879005432129
15,3.7532479763031006
16,4.0480499267578125
17,4.115287780761719
18,3.872538566589356
19,3.7332880496978764
20,3.473500490188598
21,3.266297578811645
22,3.1495842933654785
23,3.2626988887786865
0,3.846698760986328
1,4.574522018432617
2,5.295921802520752
3,5.50108003616333
4,5.299127578735352
5,4.851443290710449
6,4.3523287773132315
7,3.657780408859253
8,3.064508438110352
9,2.53257155418396
10,2.2010211944580083
11,2.244038343429565
